id,Decision
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,0
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,0
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,0
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,0
417,1
418,1
419,0
