id,Decision,Driving_to,Passanger,Weather,Temperature,Time,Coupon,Coupon_validity,Gender,Age,Maritalstatus,Children,Education,Occupation,Income,Bar,Coffeehouse,Carryaway,Restaurantlessthan20,Restaurant20to50,Direction_same,Distance
1,1,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,2,0,3,2,2,0,2
2,0,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,0,1,4,3,0,0,2
3,1,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),1d,Male,50plus,Married partner,1,Associates degree,Unemployed,$37500 - $49999,1,1,1,3,1,0,1
4,1,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,2,0,3,2,2,0,1
5,1,Home,Alone,Sunny,30,6PM,Carry out & Take away,2h,Male,41,Single,0,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,0,0,2,2,0,1,2
6,1,Home,Alone,Sunny,30,6PM,Carry out & Take away,1d,Female,50plus,Single,1,Bachelors degree,Food Preparation & Serving Related,$12500 - $24999,0,2,3,1,1,0,1
7,1,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),2h,Female,41,Married partner,1,Bachelors degree,Education&Training&Library,$25000 - $37499,0,2,2,2,2,0,1
8,1,No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,21,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,2,4,3,2,1,0,2
9,1,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,41,Married partner,1,Bachelors degree,Education&Training&Library,$25000 - $37499,0,2,2,2,2,1,1
10,1,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,50plus,Single,0,Bachelors degree,Computer & Mathematical,$75000 - $87499,2,0,2,3,2,0,1
11,1,No Urgent Place,Friend(s),Sunny,30,10PM,Restaurant(<20),2h,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,0,2,2,2,2,0,1
12,0,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,1,1,4,3,1,1,1
13,1,Home,Alone,Sunny,80,6PM,Restaurant(<20),2h,Male,below21,Unmarried partner,0,Some college - no degree,Student,$12500 - $24999,1,4,3,2,1,1,1
14,1,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,1,1,2,3,1,0,1
15,0,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Male,36,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1,0,2,1,1,0,2
16,0,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,2,3,2,3,1,0,2
17,1,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$25000 - $37499,1,2,2,2,2,0,2
18,0,Home,Alone,Snowy,30,6PM,Coffee House,1d,Male,21,Single,0,Associates degree,Computer & Mathematical,$37500 - $49999,0,1,2,1,1,0,2
19,0,Home,Alone,Sunny,80,6PM,Bar,2h,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,2,3,1,3,1,1,1
20,1,No Urgent Place,Alone,Snowy,30,10AM,Restaurant(<20),1d,Female,50plus,Single,1,Bachelors degree,Food Preparation & Serving Related,$12500 - $24999,0,2,3,1,1,0,2
21,0,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Student,$100000 or More,3,4,3,4,2,0,2
22,0,Home,Alone,Sunny,80,6PM,Bar,2h,Female,50plus,Single,1,Bachelors degree,Office & Administrative Support,$37500 - $49999,1,3,2,2,2,1,1
23,0,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,0,4,3,2,1,0,3
24,0,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,50plus,Divorced,0,Graduate degree (Masters or Doctorate),Retired,$37500 - $49999,0,0,3,2,0,0,3
25,1,Home,Alone,Sunny,80,6PM,Restaurant(20-50),1d,Female,46,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,0,3,3,2,,1,1
